" Nom Ville ","MAJ   "," Code Postal "," Latitude "," Longitude "
Agen,AGEN,47000,44.2,0.633333
Ajaccio,AJACCIO,20090,41.916667,8.733333
Alençon,ALENCON,61000,48.433333,0.083333
Amiens,AMIENS,80090,49.9,2.3
Angers,ANGERS,49000,47.466667,-0.55
Angoulême,ANGOULEME,16000,45.65,0.15
Annecy,ANNECY,74000,45.9,6.116667
Arras,ARRAS,62000,50.283333,2.783333
Auch,AUCH,32810,43.65,0.583333
Aurillac,AURILLAC,15000,44.916667,2.45
Auxerre,AUXERRE,89000,47.8,3.566667
Avignon,AVIGNON,84000,43.95,4.816667
Bar-le-Duc,"BAR LE DUC",55000,48.783333,5.166667
Bastia,BASTIA,20600,42.7,9.45
Beauvais,BEAUVAIS,60155,49.433333,2.083333
Belfort,BELFORT,90000,47.633333,6.866667
Besançon,BESANCON,25000,47.25,6.033333
Blois,BLOIS,41000,47.583333,1.333333
Bobigny,BOBIGNY,93000,48.9,2.45
Bordeaux,BORDEAUX,33300,44.833333,-0.566667
Bourg-en-Bresse,"BOURG EN BRESSE",1000,46.2,5.216667
Bourges,BOURGES,18000,47.083333,2.4
Caen,CAEN,14000,49.183333,-0.35
Cahors,CAHORS,46000,44.433333,1.433333
Carcassonne,CARCASSONNE,11000,43.216667,2.35
Cergy,CERGY,95000,49.033333,2.066667
Châlons-en-Champagne,"CHALONS EN CHAMPAGNE",51000,48.958333,4.366667
Chambéry,CHAMBERY,73000,45.566667,5.933333
Charleville-Mézières,"CHARLEVILLE MEZIERES",8090,49.766667,4.716667
Chartres,CHARTRES,28000,48.45,1.5
Châteauroux,CHATEAUROUX,36000,46.816667,1.7
Châteauroux,CHATEAUROUX,5380,44.616667,6.516667
Chaumont,CHAUMONT,18350,46.833333,2.75
Chaumont,CHAUMONT,39200,46.4,5.883333
Chaumont,CHAUMONT,52000,48.116667,5.133333
Chaumont,CHAUMONT,61230,48.833333,0.333333
Chaumont,CHAUMONT,89370,48.316667,3.1
Clermont-Ferrand,"CLERMONT FERRAND",63000,45.783333,3.083333
Colmar,COLMAR,68000,48.083333,7.366667
Créteil,CRETEIL,94000,48.783333,2.466667
Dijon,DIJON,21000,47.316667,5.016667
Épinal,EPINAL,88000,48.183333,6.45
Évreux,EVREUX,27000,49.016667,1.15
Évry,EVRY,89140,48.266667,3.25
Évry,EVRY,91090,48.633333,2.45
Foix,FOIX,9000,42.966667,1.6
Grenoble,GRENOBLE,38000,45.166667,5.716667
Guéret,GUERET,23000,46.166667,1.866667
Laon,LAON,2000,49.566667,3.616667
Lons-le-Saunier,"LONS LE SAUNIER",39570,46.666667,5.55
Lyon,LYON,69000,45.75,4.85
Melun,MELUN,77000,48.533333,2.666667
Mende,MENDE,48000,44.516667,3.5
Mont-de-Marsan,"MONT DE MARSAN",40000,43.883333,-0.5
Nancy,NANCY,54100,48.683333,6.2
Nanterre,NANTERRE,92000,48.9,2.2
Nantes,NANTES,44200,47.216667,-1.55
Nevers,NEVERS,58000,46.983333,3.166667
Nice,NICE,6100,43.7,7.25
Nîmes,NIMES,30000,43.833333,4.35
Orléans,ORLEANS,45100,47.916667,1.9
Périgueux,PERIGUEUX,24000,45.183333,0.716667
Perpignan,PERPIGNAN,66100,42.683333,2.883333
Poitiers,POITIERS,86000,46.583333,0.333333
Privas,PRIVAS,7000,44.733333,4.6
Rodez,RODEZ,12000,44.333333,2.566667
Rouen,ROUEN,76100,49.433333,1.083333
Strasbourg,STRASBOURG,67000,48.583333,7.75
Tarbes,TARBES,65000,43.233333,0.083333
Toulouse,TOULOUSE,31500,43.6,1.433333
Troyes,TROYES,10000,48.3,4.083333
Tulle,TULLE,19000,45.266667,1.766667
Versailles,VERSAILLES,78000,48.8,2.133333
Vesoul,VESOUL,70000,47.633333,6.166667
